Page URL,Broken Link URL,HTTP Code,Occurrences,Discovered At,Title
https://brightai.site/what-is-ai/,https://brightai.site/demo,404,13,2026-03-08T01:26:48.653Z,ما هو الذكاء الاصطناعي؟ | Bright AI - دليلك الشامل
https://brightai.site/what-is-ai/,https://brightai.site/job.MAISco,404,15,2026-03-08T01:26:48.653Z,ما هو الذكاء الاصطناعي؟ | Bright AI - دليلك الشامل
https://brightai.site/tools/,https://brightai.site/interview/pages/dashboard,404,17,2026-03-08T01:26:48.653Z,أدوات AI مجانية للشركات | Bright AI
https://brightai.site/tools/,https://brightai.site/interview/pages/supportAI,404,15,2026-03-08T01:26:48.653Z,أدوات AI مجانية للشركات | Bright AI
https://brightai.site/tools/,https://brightai.site/demo/ocr-demo,404,18,2026-03-08T01:26:48.653Z,أدوات AI مجانية للشركات | Bright AI
https://brightai.site/tools/,https://brightai.site/interview/pages/support-ai,404,14,2026-03-08T01:26:48.653Z,أدوات AI مجانية للشركات | Bright AI
https://brightai.site/tools/,https://brightai.site/interview,404,13,2026-03-08T01:26:48.653Z,أدوات AI مجانية للشركات | Bright AI
https://brightai.site/smart-automation/,https://brightai.site/demo,404,13,2026-03-08T01:26:48.653Z,الأتمتة الذكية وسير عمل AI | Bright AI السعودية
https://brightai.site/smart-automation/,https://brightai.site/interview,404,12,2026-03-08T01:26:48.653Z,الأتمتة الذكية وسير عمل AI | Bright AI السعودية
https://brightai.site/services/,https://brightai.site/interview,404,13,2026-03-08T01:26:48.653Z,خدمات AI المؤسسية للشركات | Bright AI
https://brightai.site/machine-learning/,https://brightai.site/interview,404,14,2026-03-08T01:26:48.653Z,تعلم الآلة للأعمال | Bright AI
https://brightai.site/health/,https://brightai.site/job.MAISco,404,13,2026-03-08T01:26:48.653Z,حلول الذكاء الاصطناعي الطبية المتقدمة | Bright AI السعودية
https://brightai.site/frontend/pages/try/,https://brightai.site/interview/pages/support-ai,404,12,2026-03-08T01:26:48.653Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/try/,https://brightai.site/try/data-analyzer,404,15,2026-03-08T01:26:48.653Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/try/,https://brightai.site/interview/pages/appointment,404,16,2026-03-08T01:07:05.713Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/try/,https://brightai.site/try/text-analysis,404,17,2026-03-08T01:26:48.653Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/try/,https://brightai.site/try/data-quality,404,14,2026-03-08T01:26:48.653Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/try/,https://brightai.site/job.MAISco,404,13,2026-03-08T01:26:48.653Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/try/,https://brightai.site/interview/pages/dashboard,404,19,2026-03-08T01:26:48.653Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/try/,https://brightai.site/demo,404,11,2026-03-08T01:26:48.653Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/smart-medical-archive/,https://brightai.site/job.MAISco,404,17,2026-03-08T01:26:48.653Z,نظام الأرشيف الطبي الذكي للمستشفيات في السعودية | تجربة
https://brightai.site/frontend/pages/smart-medical-archive/,https://brightai.site/demo/ocr-demo,404,16,2026-03-08T01:26:48.653Z,نظام الأرشيف الطبي الذكي للمستشفيات في السعودية | تجربة
https://brightai.site/frontend/pages/sectors/manufacturing.html,https://brightai.site/job.MAISco,404,14,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي للصناعة السعودية | Bright AI
https://brightai.site/frontend/pages/sectors/logistics.html,https://brightai.site/job.MAISco,404,14,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي للوجستيات في السعودية | Bright AI
https://brightai.site/frontend/pages/sectors/logistics.html,https://brightai.site/demo,404,12,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي للوجستيات في السعودية | Bright AI
https://brightai.site/frontend/pages/sectors/healthcare.html,https://brightai.site/job.MAISco,404,14,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي للرعاية الصحية في السعودية | Bright AI
https://brightai.site/frontend/pages/sectors/finance.html,https://brightai.site/job.MAISco,404,13,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي للقطاع المالي السعودي | Bright AI
https://brightai.site/frontend/pages/sectors/energy.html,https://brightai.site/job.MAISco,404,13,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي لقطاع الطاقة السعودي | Bright AI
https://brightai.site/frontend/pages/sectors/ecommerce.html,https://brightai.site/job.MAISco,404,13,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي للتجارة الإلكترونية السعودية | Bright AI
https://brightai.site/frontend/pages/privacy-cookies/,https://brightai.site/job.MAISco,404,12,2026-03-08T01:26:48.653Z,Bright AI | سياسة ملفات تعريف الارتباط
https://brightai.site/frontend/pages/demo/pricing/,https://brightai.site/job.MAISco,404,15,2026-03-08T01:26:48.653Z,أسعار Bright AI | باقات مرنة للشركات السعودية
https://brightai.site/frontend/pages/demo/pricing/,https://brightai.site/demo,404,13,2026-03-08T01:26:48.653Z,أسعار Bright AI | باقات مرنة للشركات السعودية
https://brightai.site/frontend/pages/blogger/مقال-تحليل.html,https://brightai.site/job.MAISco,404,12,2026-03-08T01:26:48.653Z,كيف تغيّر الذكاء الاصطناعي مستقبل تحليل البيانات: الأدوات
https://brightai.site/frontend/pages/blogger/تعلم-الآلة-و-الأعمال.html,https://brightai.site/job.MAISco,404,13,2026-03-08T01:26:48.653Z,تعلم الآلة للأعمال في السعودية | Bright AI
https://brightai.site/frontend/pages/blogger/تحليل-البيانات.html,https://brightai.site/blog/analysy,404,11,2026-03-08T01:07:05.713Z,تحليل البيانات لاتخاذ القرار | Bright AI السعودية
https://brightai.site/frontend/pages/blogger/تحليل-البيانات.html,https://brightai.site/job.MAISco,404,13,2026-03-08T01:26:48.653Z,تحليل البيانات لاتخاذ القرار | Bright AI السعودية
https://brightai.site/frontend/pages/blogger/الذكاء-الاصطناعي-و-التسويق.html,https://brightai.site/job.MAISco,404,12,2026-03-08T01:26:48.653Z,الذكاء الاصطناعي في التسويق | Bright AI السعودية
